applicant_id,application_date,race,gender,zip_code,loan_amount,income,approved
A0001,2024-01-04,Black,Male,48217,171000,71500,APPROVED
A0002,1/5/2024,Hispanic,Female,79901,172500,67500,DENIED
A0003,06-Jan-2024,White,Male,48104,"192,500",62500,APPROVED
A0004,2024-01-07,Caucasian,Male,2138,201000,67500,APPROVED
A0005,1/8/2024,White,Male,60614,69500,,APPROVED
A0006,09-Jan-2024,White,male,80302,209000,"$61,000",APPROVED
 A0007 ,2024-01-10,Other,Female,77002,209000,94500,APPROVED
A0008,1/11/2024,,Female,77002,103000,41000,APPROVED
A0009,12-Jan-2024,White,Male,2138,"206,000",60500,Approved
A0010,2024-01-13,Black,Male,30310,203500,72500,APPROVED
A0011,1/14/2024,white,Male,80302,306000,81000,APPROVED
A0012,15-Jan-2024,Hispanic,Male,78207,236500,75500,APPROVED
A0013,2024-01-16,White,Female,60614,337500,95500,APPROVED
A0014,1/17/2024,White,Female,94027,232000,N/A,APPROVED
A0015,18-Jan-2024,White,Female,94027,"140,000",52000,APPROVED
A0016,2024-01-19,White,Male,60614,401000,110000,APPROVED
A0017,1/20/2024,American Indian,F,59022,372500,99000,APPROVED
A0018,21-Jan-2024,Caucasian,Male,2138,174500,61000,DENIED
A0019,2024-01-22,White,Female,60614,169500,56500,DENIED
A0020,1/23/2024,White,Female,60614,206500,73000,APPROVED
A0021,24-Jan-2024,White,Male,60614,"184,500",64500,APPROVED
A0022,2024-01-25,White,Female,60614,317500,"$88,500",Y
A0023,1/26/2024,White,Female,94027,170000,NULL,APPROVED
A0024,27-Jan-2024,Hispanic,Male,79901,212500,90500,DENIED
A0025,2024-01-28,,Female,2138,207500,71000,APPROVED
 A0026 ,1/29/2024,White,Male,94027,274000,74000,APPROVED
A0027,30-Jan-2024,Hispanic,Male,33125,"240,000",69000,APPROVED
A0028,2024-01-31,White,female,60614,357000,102000,APPROVED
A0029,2/1/2024,Black,Female,63115,226000,79000,APPROVED
A0030,02-Feb-2024,White,Male,94027,141000,"$60,000",APPROVED
A0031,2024-02-03,White,Female,94027,244000,68000,APPROVED
A0032,2/4/2024,Caucasian,Female,60614,84500,-,APPROVED
A0033,05-Feb-2024,Black,Male,30310,"208,000",83500,DENIED
A0034,2024-02-06,Black,Male,30310,230500,63500,DENIED
A0035,2/7/2024,White,Female,48104,205000,74000,Approved
A0036,08-Feb-2024,Asian,Male,92841,201500,71500,APPROVED
A0037,2024-02-09,Black,Female,60619,138500,46500,DENIED
A0038,2/10/2024,Asian,Male,94538,316500,"$84,000",APPROVED
A0039,11-Feb-2024,white,F,2138,"217,000",66500,APPROVED
A0040,2024-02-12,Black,Male,48217,163500,43500,APPROVED
A0041,2/13/2024,White,Male,48104,222500,,DENIED
A0042,14-Feb-2024,,Female,2138,-45000,82500,APPROVED
A0043,2024-02-15,White,Male,2138,83500,28500,DENIED
A0044,2/16/2024,White,Female,48104,286000,88500,APPROVED
 A0045 ,17-Feb-2024,Asian,Male,92841,"216,500",72000,APPROVED
A0046,2024-02-18,black,Female,48217,62500,"$26,500",DENIED
A0047,2/19/2024,White,Female,60614,161000,63500,APPROVED
A0048,20-Feb-2024,Hispanic,Male,33125,213500,89500,Y
A0049,2024-02-21,White,Male,2138,349000,96500,DENIED
A0050,2/22/2024,Hispanic,male,33125,281500,N/A,APPROVED
