applicant_id,zip_code,loan_amount,servicer
A0001,48217,171000,MERIDIAN
A0002,79901,172500,NORTHSTAR
A0003,48104,192500,MERIDIAN
A0004,02138,201000,NORTHSTAR
A0005,60614,69500,MERIDIAN
A0006,80302,209000,NORTHSTAR
A0007,77002,209000,MERIDIAN
A0008,77002,103000,NORTHSTAR
A0009,02138,206000,MERIDIAN
A0011,80302,306000,MERIDIAN
A0012,78207,237500,NORTHSTAR
A0013,60614,337500,MERIDIAN
A0014,94027,232000,NORTHSTAR
A0015,94027,140000,MERIDIAN
A0016,60614,401000,NORTHSTAR
A0017,59022,372500,MERIDIAN
A0018,02138,174500,NORTHSTAR
A0019,60614,169500,MERIDIAN
A0020,60614,206500,NORTHSTAR
A0021,60614,184500,MERIDIAN
A0022,60614,317500,NORTHSTAR
A0023,94027,170000,MERIDIAN
A0024,79901,212500,NORTHSTAR
A0025,02138,207500,MERIDIAN
A0026,94027,274000,NORTHSTAR
A0027,33125,240000,MERIDIAN
A0028,60614,357000,NORTHSTAR
A0029,63115,226000,MERIDIAN
A0030,94027,141000,NORTHSTAR
A0031,94027,244000,MERIDIAN
A0032,60614,84500,NORTHSTAR
A0034,30310,230500,NORTHSTAR
A0035,48104,205000,MERIDIAN
A0036,92841,201500,NORTHSTAR
A0037,60619,138500,MERIDIAN
A0038,94538,316500,NORTHSTAR
A0039,02138,217000,MERIDIAN
A0040,48217,163500,NORTHSTAR
A0041,48104,223500,MERIDIAN
A0042,02138,287500,NORTHSTAR
A0043,02138,83500,MERIDIAN
A0044,48104,286000,NORTHSTAR
A0045,92841,216500,MERIDIAN
A0046,48217,62500,NORTHSTAR
A0047,60614,161000,MERIDIAN
A0048,33125,213500,NORTHSTAR
A0049,02138,349000,MERIDIAN
A0050,33125,281500,NORTHSTAR
A0051,48104,329000,MERIDIAN
A0052,10001,200000,NORTHSTAR
A0053,92841,232500,MERIDIAN
A0054,63115,233500,NORTHSTAR
A0055,92841,331000,MERIDIAN
A0057,79901,114500,MERIDIAN
A0058,57350,204000,NORTHSTAR
A0059,60619,385000,MERIDIAN
A0060,80302,227000,NORTHSTAR
A0061,80302,288500,MERIDIAN
A0062,94027,301500,NORTHSTAR
A0063,59022,54000,MERIDIAN
A0064,02138,280500,NORTHSTAR
A0065,60614,272000,MERIDIAN
A0066,92841,244000,NORTHSTAR
A0067,92841,143000,MERIDIAN
A0068,48104,283000,NORTHSTAR
A0069,48217,153500,MERIDIAN
A0070,79901,88500,NORTHSTAR
A0071,48104,164000,MERIDIAN
A0072,30310,198500,NORTHSTAR
A0073,60614,306000,MERIDIAN
A0074,95129,208000,NORTHSTAR
A0075,94027,199500,MERIDIAN
A0076,85009,330500,NORTHSTAR
A0077,79901,139500,MERIDIAN
A0078,94027,339000,NORTHSTAR
A0080,78207,282500,NORTHSTAR
A0081,48104,172500,MERIDIAN
A0082,78207,171500,NORTHSTAR
A0083,78207,129000,MERIDIAN
A0084,63115,247500,NORTHSTAR
A0085,08854,243500,MERIDIAN
A0086,30310,127000,NORTHSTAR
A0087,33125,205000,MERIDIAN
A0088,30310,188000,NORTHSTAR
A0089,79901,272500,MERIDIAN
A0090,48104,164000,NORTHSTAR
A0091,48104,110500,MERIDIAN
A0092,92841,159000,NORTHSTAR
A0093,60619,215500,MERIDIAN
A0094,80302,277500,NORTHSTAR
A0095,60614,138000,MERIDIAN
A0096,60614,185500,NORTHSTAR
A0097,48104,258500,MERIDIAN
A0098,60614,250500,NORTHSTAR
A0099,85009,275500,MERIDIAN
A0100,90011,146000,NORTHSTAR
B901,60614,150000,MERIDIAN
B902,60614,150000,MERIDIAN
B903,60614,150000,MERIDIAN
